,Matching_all
100,0.7007125890736342
101,0.9192399049881235
102,0.4584323040380047
103,0.5415676959619953
104,0.8717339667458432
105,0.44418052256532065
106,0.43705463182897863
107,1.1235154394299287
108,0.4085510688836104
109,0.7363420427553444
110,0.6603325415676959
111,0.7648456057007126
112,0.5415676959619953
113,0.8646080760095012
114,0.6817102137767221
115,0.27790973871733965
116,0.7648456057007126
117,0.9477434679334917
118,0.669833729216152
119,0.5914489311163895
120,0.41092636579572445
121,0.6413301662707839
122,0.5795724465558195
123,0.6057007125890737
124,0.672209026128266
125,0.3752969121140142
126,0.7505938242280285
127,0.7862232779097387
128,0.7268408551068883
129,0.6318289786223278
130,0.7862232779097387
131,0.6983372921615202
132,0.7957244655581948
133,0.5320665083135392
134,0.9809976247030879
135,0.838479809976247
136,0.4845605700712589
137,0.7980997624703088
138,0.5700712589073634
139,0.6009501187648456
140,0.45368171021377673
141,0.5748218527315915
142,0.5890736342042755
143,0.6389548693586699
144,0.6935866983372921
145,0.669833729216152
146,0.8551068883610451
147,0.6152019002375297
148,0.5439429928741093
149,0.7458432304038005
150,0.6579572446555819
151,0.6769596199524941
152,0.6294536817102138
153,0.49643705463182897
154,0.66270783847981
155,0.5581947743467933
156,0.7315914489311164
157,0.4346793349168646
158,0.5605700712589073
159,0.36104513064133015
160,0.3919239904988123
161,0.38717339667458434
162,0.6508313539192399
163,0.45368171021377673
164,0.667458432304038
165,0.2826603325415677
166,0.7434679334916865
167,0.7814726840855107
168,0.8622327790973872
169,0.5700712589073634
170,0.9239904988123515
171,0.5439429928741093
172,0.6199524940617577
173,0.5368171021377672
174,0.8171021377672208
175,0.8622327790973872
176,0.5391923990498813
177,0.8266033254156769
178,0.8479809976247031
179,0.6057007125890737
180,0.334916864608076
181,0.6152019002375297
182,0.16864608076009502
183,1.007125890736342
184,0.4679334916864608
185,0.6318289786223278
186,0.2660332541567696
187,0.9263657957244655
188,0.8123515439429929
189,0.9501187648456056
190,0.5391923990498813
191,0.5581947743467933
192,0.3016627078384798
193,0.7482185273159145
194,0.5605700712589073
195,0.3657957244655582
196,0.7054631828978623
197,0.7719714964370546
