,Matching_all
150,1.4163319946452477
151,1.714859437751004
152,1.3279785809906293
153,1.4765729585006693
154,1.6305220883534137
155,1.4792503346720214
156,1.4096385542168675
157,1.6117804551539492
158,1.4564926372155287
159,1.4016064257028114
160,1.5046854082998662
161,1.6586345381526104
162,1.427041499330656
163,1.3654618473895583
164,1.3748326639892905
165,1.6305220883534137
166,1.4176706827309238
167,1.4792503346720214
168,1.3788487282463187
169,1.3333333333333333
170,1.357429718875502
171,1.2637215528781793
172,1.3132530120481927
173,1.3427041499330656
174,1.461847389558233
175,1.3159303882195448
176,1.463186077643909
177,1.4899598393574298
178,1.3052208835341366
179,1.6037483266398929
180,1.4230254350736278
181,1.3654618473895583
182,1.7215528781793843
183,1.4899598393574298
184,1.6184738955823292
185,1.2061579651941097
186,1.4096385542168675
187,1.7376171352074967
188,1.4002677376171353
189,1.5167336010709505
190,1.6720214190093707
191,1.6265060240963856
192,1.5930388219544847
193,1.3052208835341366
194,1.4966532797858099
195,1.6238286479250335
196,1.6157965194109773
197,1.5301204819277108
198,1.4444444444444444
199,1.6171352074966532
200,1.4136546184738956
201,1.6345381526104417
202,1.3119143239625168
203,1.571619812583668
204,1.2396251673360108
205,1.5823293172690762
206,1.5769745649263722
207,1.5314591700133868
208,1.4591700133868808
209,1.4096385542168675
210,1.4123159303882196
211,1.7349397590361446
212,1.5314591700133868
213,1.5876840696117804
214,1.5595716198125837
215,1.6693440428380188
216,1.6599732262382865
217,1.6706827309236947
218,1.2650602409638554
219,1.5595716198125837
220,1.390896921017403
221,1.2971887550200802
222,1.497991967871486
223,1.5475234270414993
224,1.5194109772423026
225,1.4082998661311914
226,1.7269076305220883
227,1.4163319946452477
228,1.6144578313253013
229,1.5207496653279786
230,1.5475234270414993
231,1.6024096385542168
232,1.4819277108433735
233,1.5421686746987953
234,1.5153949129852744
235,1.6117804551539492
236,1.5609103078982598
237,1.4899598393574298
238,1.286479250334672
239,1.4364123159303883
240,1.5274431057563587
241,1.5997322623828647
242,1.4431057563587684
243,1.3092369477911647
244,1.4203480589022757
245,1.7041499330655958
246,1.4016064257028114
247,1.676037483266399
248,1.5033467202141901
249,1.4257028112449799
250,1.4872824631860777
251,1.1740294511378848
252,1.6024096385542168
253,1.7710843373493976
254,1.5087014725568944
255,1.538152610441767
256,1.5153949129852744
257,1.5742971887550201
258,1.3092369477911647
