,match_id,team_id,possession_full_match,shots_on,shots_on_first_half,shots_on_second_half,goals,goals_first_half,goals_second_half
240,1871,8586,54,15,10,5,3,1,2
241,1871,8462,46,4,4,0,1,0,1
242,1872,8654,59,6,4,2,1,0,1
243,1872,9879,41,5,1,4,2,0,2
244,1873,8456,49,2,2,0,1,0,1
245,1873,8528,51,8,1,7,0,0,0
246,1874,10261,46,3,3,0,3,3,0
247,1874,8655,54,3,1,2,1,0,1
248,1875,10260,59,13,6,7,3,2,1
249,1875,8559,41,3,3,0,0,0,0
250,1877,8667,43,4,3,1,6,2,4
251,1877,9825,57,5,2,3,0,0,0
252,1878,8455,56,19,10,9,1,1,0
253,1878,10194,44,1,1,0,0,0,0
254,1879,9879,47,9,4,5,1,1,0
255,1879,8472,53,12,5,7,1,0,1
256,1880,8586,58,11,6,5,1,0,1
257,1880,10194,42,1,0,1,1,0,1
258,1881,8667,44,12,7,5,2,1,1
259,1881,8654,56,10,4,6,1,0,1
260,1882,10260,61,6,4,2,2,2,0
261,1882,8659,39,4,3,1,3,0,3
262,1883,8462,54,8,3,5,2,0,2
263,1883,10252,46,2,2,0,0,0,0
264,1884,8528,48,2,2,0,1,1,0
265,1884,8650,52,3,1,2,0,0,0
266,1885,9825,51,4,2,2,2,0,2
267,1885,8668,49,4,2,2,0,0,0
268,1886,8456,64,4,2,2,1,1,0
269,1886,10261,36,0,0,0,2,0,2
270,1887,8655,52,11,3,8,3,1,2
271,1887,8559,48,1,1,0,1,0,1
272,1888,8455,61,12,6,6,3,1,2
273,1888,8549,39,6,3,3,2,0,2
274,1889,10260,52,11,6,5,2,1,1
275,1889,8668,48,5,1,4,2,0,2
276,1890,9825,55,9,3,6,1,1,0
277,1890,8654,45,2,1,1,0,0,0
278,1891,8455,46,4,3,1,2,0,2
279,1891,8650,54,14,5,9,0,0,0
280,1893,8655,49,12,3,9,2,1,1
281,1893,8549,51,6,2,4,0,0,0
282,1894,8472,49,10,8,2,3,1,2
283,1894,10261,51,14,6,8,0,0,0
284,1895,8462,52,7,4,3,1,0,1
285,1895,9879,48,4,1,3,0,0,0
286,1896,8586,54,8,3,5,3,3,0
287,1896,8559,46,5,3,2,2,1,1
288,1897,8667,53,10,5,5,3,2,1
289,1897,8659,47,4,0,4,1,1,0
290,1898,8456,57,6,1,5,2,0,2
291,1898,10194,43,3,2,1,1,0,1
292,1899,8472,60,6,4,2,1,1,0
293,1899,10194,40,2,1,1,0,0,0
294,1901,8654,47,5,3,2,1,1,0
295,1901,10260,53,8,5,3,0,0,0
296,1902,8668,68,8,4,4,2,0,2
297,1902,8559,32,5,0,5,1,0,1
298,1903,8549,39,5,3,2,2,2,0
299,1903,8456,61,14,6,8,1,0,1
300,1905,10261,51,6,4,2,2,1,1
301,1905,8659,49,4,1,3,1,1,0
302,1907,9879,46,3,3,0,1,0,1
303,1907,8528,54,4,1,3,3,0,3
304,1908,8455,59,12,7,5,4,2,2
305,1908,8667,41,3,2,1,0,0,0
306,1909,8655,42,6,1,5,1,1,0
307,1909,10260,58,5,2,3,1,0,1
308,1910,9825,64,8,5,3,2,1,1
309,1910,8472,36,2,2,0,2,0,2
310,1911,8650,52,7,3,4,3,2,1
311,1911,8456,48,4,1,3,0,0,0
312,1912,8455,58,9,5,4,1,1,0
313,1912,10252,42,6,2,4,2,0,2
314,1914,8668,53,7,3,4,1,0,1
315,1914,10261,47,1,0,1,0,0,0
316,1915,9879,54,10,3,7,2,2,0
317,1915,8659,46,7,3,4,1,0,1
318,1916,8559,46,6,3,3,2,1,1
319,1916,8654,54,9,3,6,1,0,1
320,1917,8586,53,6,1,5,4,3,1
321,1917,8667,47,3,1,2,2,1,1
322,1918,8462,46,3,1,2,3,3,0
323,1918,10194,54,2,2,0,1,1,0
324,1919,10260,52,12,7,5,2,1,1
325,1919,8462,48,2,0,2,1,0,1
326,1920,9879,45,4,2,2,1,1,0
327,1920,9825,55,6,3,3,0,0,0
328,1921,8586,46,8,5,3,2,0,2
329,1921,8472,54,4,0,4,0,0,0
330,1923,10252,61,5,4,1,1,1,0
331,1923,10194,39,0,0,0,2,1,1
332,1924,8659,45,10,4,6,2,1,1
333,1924,8668,55,6,4,2,0,0,0
334,1925,8650,44,9,6,3,1,0,1
335,1925,8549,56,3,2,1,0,0,0
336,1926,8559,52,5,3,2,1,1,0
337,1926,10261,48,12,4,8,4,2,2
338,1927,8655,51,5,3,2,1,1,0
339,1927,8667,49,4,2,2,3,0,3
340,1928,8528,43,6,5,1,2,1,1
341,1928,8455,57,12,8,4,1,0,1
342,1929,8549,47,4,3,1,3,2,1
343,1929,8586,53,4,3,1,1,0,1
344,1930,8659,40,6,2,4,1,1,0
345,1930,9825,60,4,0,4,1,0,1
346,1932,8559,46,9,4,5,2,2,0
347,1932,10194,54,3,0,3,3,1,2
348,1933,8528,56,8,2,6,1,1,0
349,1933,8654,44,2,0,2,1,1,0
350,1934,8472,42,2,2,0,2,2,0
351,1934,8650,58,11,7,4,0,0,0
352,1935,10261,37,5,3,2,5,4,1
353,1935,10260,63,7,4,3,0,0,0
354,1936,8456,51,6,2,4,3,2,1
355,1936,10252,49,5,0,5,0,0,0
356,1938,9879,49,10,3,7,3,1,2
357,1938,8667,51,2,1,1,0,0,0
358,1939,10260,61,8,3,5,3,1,2
359,1939,8650,39,3,1,2,4,3,1
360,1940,9825,57,9,2,7,2,0,2
361,1940,8655,43,4,2,2,0,0,0
362,1942,8659,47,3,2,1,1,1,0
363,1942,8654,53,4,4,0,4,1,3
364,1943,8586,53,9,5,4,5,3,2
365,1943,10252,47,5,3,2,0,0,0
366,1944,8668,53,9,4,5,2,1,1
367,1944,10194,47,2,1,1,3,0,3
368,1945,8462,51,3,3,0,2,1,1
369,1945,8549,49,8,1,7,0,0,0
370,1946,8559,46,5,3,2,1,1,0
371,1946,9879,54,4,2,2,1,0,1
372,1947,10261,51,4,1,3,2,1,1
373,1947,8667,49,1,0,1,0,0,0
374,1948,8456,47,3,1,2,1,1,0
375,1948,8455,53,5,1,4,2,1,1
376,1949,10260,55,8,5,3,1,0,1
377,1949,9879,45,1,1,0,0,0,0
378,1950,9825,53,12,6,6,1,0,1
379,1950,10261,47,1,0,1,0,0,0
380,1951,8456,54,6,3,3,3,1,2
381,1951,8472,46,4,3,1,2,1,1
382,1952,8655,45,7,3,4,2,1,1
383,1952,8654,55,4,1,3,0,0,0
384,1953,8650,55,5,1,4,4,1,3
385,1953,10252,45,2,1,1,0,0,0
386,1956,8559,52,10,3,7,2,0,2
387,1956,8659,48,7,4,3,0,0,0
388,1957,8528,52,1,1,0,1,1,0
389,1957,8667,48,4,1,3,2,0,2
390,1959,8650,57,4,2,2,1,0,1
391,1959,10252,43,4,3,1,0,0,0
392,1961,9825,59,10,6,4,4,2,2
393,1961,10261,41,4,1,3,1,1,0
394,1962,8456,61,10,3,7,2,1,1
395,1962,8472,39,4,2,2,0,0,0
396,1963,8655,56,12,6,6,4,2,2
397,1963,8654,44,1,1,0,0,0,0
398,1964,9879,54,11,9,2,1,0,1
399,1964,10260,46,13,1,12,0,0,0
400,1966,8462,44,9,4,5,3,2,1
401,1966,8668,56,3,0,3,3,1,2
402,1967,10194,48,2,1,1,3,2,1
403,1967,8549,52,6,3,3,1,1,0
404,1968,8667,53,3,2,1,1,1,0
405,1968,8528,47,6,4,2,3,0,3
406,1969,10260,53,6,3,3,1,1,0
407,1969,10252,47,4,4,0,1,0,1
408,1971,8472,48,8,3,5,1,1,0
409,1971,8654,52,7,1,6,4,0,4
410,1972,8668,57,7,3,4,6,1,5
411,1972,8528,43,10,2,8,4,0,4
412,1973,8455,52,10,2,8,1,1,0
413,1973,10261,48,6,2,4,0,0,0
414,1974,8586,51,4,3,1,4,2,2
415,1974,8655,49,5,0,5,2,1,1
416,1975,8650,52,9,5,4,1,0,1
417,1975,9879,48,2,0,2,0,0,0
418,1976,8559,45,7,4,3,1,0,1
419,1976,8549,55,4,2,2,0,0,0
420,1977,10194,39,5,5,0,1,1,0
421,1977,8659,61,12,2,10,2,0,2
422,1978,8462,42,1,1,0,2,2,0
423,1978,8667,58,1,0,1,5,0,5
424,1979,8650,60,7,5,2,2,1,1
