,match_id,team_id,possession_until_halftime,shots_on,shots_on_first_half,shots_on_second_half,goals,goals_first_half,goals_second_half
301,1909,10260,58,5,2,3,0,0,0
302,1910,9825,65,8,5,3,3,2,1
303,1910,8472,35,2,2,0,0,0,0
304,1911,8650,54,7,3,4,1,1,0
305,1911,8456,46,4,1,3,2,0,2
306,1912,8455,62,9,5,4,1,0,1
307,1912,10252,38,6,2,4,0,0,0
308,1913,8528,46,8,6,2,2,2,0
309,1913,8549,54,3,1,2,1,0,1
310,1914,8668,48,7,3,4,2,1,1
311,1914,10261,52,1,0,1,1,0,1
312,1915,9879,53,10,3,7,3,3,0
313,1915,8659,47,7,3,4,1,1,0
314,1916,8559,55,6,3,3,1,0,1
315,1916,8654,45,9,3,6,0,0,0
316,1917,8586,48,6,1,5,2,1,1
317,1917,8667,52,3,1,2,1,0,1
318,1918,8462,49,3,1,2,1,1,0
319,1918,10194,51,2,2,0,0,0,0
320,1919,10260,54,12,7,5,2,0,2
321,1919,8462,46,2,0,2,0,0,0
322,1920,9879,51,4,2,2,1,1,0
323,1920,9825,49,6,3,3,2,1,1
324,1921,8586,52,8,5,3,2,1,1
325,1921,8472,48,4,0,4,0,0,0
326,1922,8456,55,5,2,3,1,0,1
327,1922,8654,45,10,6,4,0,0,0
328,1924,8659,39,10,4,6,1,1,0
329,1924,8668,61,6,4,2,4,2,2
330,1925,8650,57,9,6,3,1,1,0
331,1925,8549,43,3,2,1,3,0,3
332,1926,8559,49,5,3,2,2,1,1
333,1926,10261,51,12,4,8,1,0,1
334,1927,8655,59,5,3,2,3,2,1
335,1927,8667,41,4,2,2,1,0,1
336,1928,8528,51,6,5,1,1,1,0
337,1928,8455,49,12,8,4,1,0,1
338,1930,8659,35,6,2,4,2,2,0
339,1930,9825,65,4,0,4,3,1,2
340,1931,8462,48,6,3,3,1,1,0
341,1931,8455,52,10,7,3,1,1,0
342,1932,8559,44,9,4,5,2,2,0
343,1932,10194,56,3,0,3,0,0,0
344,1933,8528,43,8,2,6,5,4,1
345,1933,8654,57,2,0,2,0,0,0
346,1934,8472,45,2,2,0,3,2,1
347,1934,8650,55,11,7,4,0,0,0
348,1935,10261,51,5,3,2,3,1,2
349,1935,10260,49,7,4,3,0,0,0
350,1936,8456,56,6,2,4,3,1,2
351,1936,10252,44,5,0,5,4,3,1
352,1938,9879,54,10,3,7,3,2,1
353,1938,8667,46,2,1,1,1,0,1
354,1939,10260,64,8,3,5,2,0,2
355,1939,8650,36,3,1,2,0,0,0
356,1940,9825,54,9,2,7,1,1,0
357,1940,8655,46,4,2,2,4,1,3
358,1942,8659,44,3,2,1,5,3,2
359,1942,8654,56,4,4,0,0,0,0
360,1943,8586,45,9,5,4,1,0,1
361,1943,10252,55,5,3,2,0,0,0
362,1944,8668,55,9,4,5,2,1,1
363,1944,10194,45,2,1,1,0,0,0
364,1945,8462,53,3,3,0,1,1,0
365,1945,8549,47,8,1,7,1,0,1
366,1946,8559,48,5,3,2,2,1,1
367,1946,9879,52,4,2,2,0,0,0
368,1947,10261,49,4,1,3,1,1,0
369,1947,8667,51,1,0,1,2,0,2
370,1948,8456,44,3,1,2,1,1,0
371,1948,8455,56,5,1,4,2,1,1
372,1949,10260,53,8,5,3,1,0,1
373,1949,9879,47,1,1,0,0,0,0
374,1950,9825,59,12,6,6,3,1,2
375,1950,10261,41,1,0,1,2,1,1
376,1951,8456,46,6,3,3,2,1,1
377,1951,8472,54,4,3,1,0,0,0
378,1952,8655,38,7,3,4,2,1,1
379,1952,8654,62,4,1,3,0,0,0
380,1953,8650,52,5,1,4,4,1,3
381,1953,10252,48,2,1,1,0,0,0
382,1954,8462,41,2,2,0,2,0,2
383,1954,8668,59,7,2,5,0,0,0
384,1956,8559,36,10,3,7,1,1,0
385,1956,8659,64,7,4,3,2,0,2
386,1957,8528,57,1,1,0,1,0,1
387,1957,8667,43,4,1,3,0,0,0
388,1959,8650,57,4,2,2,4,2,2
389,1959,10252,43,4,3,1,1,1,0
390,1960,8455,58,11,3,8,2,1,1
391,1960,8586,42,6,5,1,0,0,0
392,1962,8456,54,10,3,7,2,1,1
393,1962,8472,46,4,2,2,1,0,1
394,1963,8655,49,12,6,6,1,0,1
395,1963,8654,51,1,1,0,0,0,0
396,1964,9879,62,11,9,2,3,2,1
397,1964,10260,38,13,1,12,3,1,2
398,1965,8659,53,2,1,1,3,2,1
399,1965,8559,47,9,5,4,1,1,0
400,1966,8462,48,9,4,5,1,1,0
401,1966,8668,52,3,0,3,3,0,3
402,1967,10194,53,2,1,1,2,1,1
403,1967,8549,47,6,3,3,2,0,2
404,1969,10260,58,6,3,3,1,1,0
405,1969,10252,42,4,4,0,1,0,1
406,1970,8456,43,4,2,2,1,1,0
407,1970,9825,57,7,2,5,4,0,4
408,1971,8472,52,8,3,5,4,1,3
409,1971,8654,48,7,1,6,3,0,3
410,1972,8668,62,7,3,4,6,1,5
411,1972,8528,38,10,2,8,4,0,4
412,1973,8455,52,10,2,8,2,1,1
413,1973,10261,48,6,2,4,0,0,0
414,1974,8586,53,4,3,1,1,1,0
415,1974,8655,47,5,0,5,0,0,0
416,1975,8650,52,9,5,4,1,1,0
417,1975,9879,48,2,0,2,1,0,1
418,1976,8559,41,7,4,3,4,2,2
419,1976,8549,59,4,2,2,2,1,1
420,1977,10194,37,5,5,0,1,0,1
421,1977,8659,63,12,2,10,0,0,0
422,1978,8462,39,1,1,0,1,0,1
423,1978,8667,61,1,0,1,0,0,0
424,1980,8472,40,7,7,0,1,1,0
425,1980,10260,60,4,2,2,2,0,2
426,1981,8586,64,9,3,6,2,2,0
427,1981,8654,36,5,2,3,5,0,5
428,1982,10252,47,6,3,3,2,1,1
429,1982,8668,53,3,3,0,0,0,0
430,1983,8549,53,9,4,5,2,1,1
431,1983,8667,47,4,1,3,1,0,1
432,1984,9879,47,9,3,6,1,1,0
433,1984,8456,53,6,0,6,0,0,0
434,1985,8659,48,4,3,1,1,1,0
435,1985,8462,52,2,0,2,1,0,1
436,1986,10194,54,9,4,5,3,1,2
437,1986,10261,46,5,2,3,0,0,0
438,1987,8528,51,3,1,2,3,1,2
439,1987,9825,49,1,0,1,1,0,1
440,1988,8559,35,4,3,1,3,2,1
441,1988,8455,65,10,6,4,0,0,0
442,1989,8650,54,13,8,5,2,0,2
443,1989,9825,46,0,0,0,0,0,0
444,1990,8472,51,5,2,3,2,1,1
445,1990,8667,49,2,2,0,0,0,0
446,1991,8586,53,18,8,10,1,1,0
447,1991,10261,47,5,3,2,0,0,0
448,1992,8654,48,9,4,5,2,1,1
449,1992,10252,52,7,6,1,0,0,0
450,1993,8549,48,18,10,8,3,3,0
451,1993,9879,52,6,1,5,2,0,2
452,1994,8456,56,9,3,6,3,2,1
453,1994,8659,44,12,3,9,0,0,0
454,1995,8462,48,13,9,4,1,1,0
455,1995,8559,52,1,1,0,2,2,0
456,1996,8655,54,4,2,2,1,1,0
457,1996,10194,46,2,0,2,0,0,0
458,1997,8528,49,6,4,2,4,3,1
459,1997,10260,51,6,2,4,1,1,0
460,1998,8668,51,6,3,3,2,2,0
461,1998,8455,49,10,3,7,0,0,0
462,1999,8586,58,2,1,1,3,2,1
463,1999,10260,42,12,8,4,2,0,2
464,2000,9825,56,11,3,8,4,3,1
465,2000,8549,44,6,2,4,0,0,0
466,2002,8456,51,7,2,5,4,2,2
467,2002,8668,49,5,1,4,0,0,0
468,2003,10261,54,7,4,3,3,1,2
469,2003,8462,46,6,2,4,1,0,1
470,2005,9879,59,5,1,4,3,1,2
471,2005,10194,41,4,0,4,1,1,0
472,2006,8559,44,5,3,2,4,1,3
473,2006,10252,56,6,5,1,1,1,0
474,2007,8472,46,4,4,0,2,1,1
475,2007,8659,54,6,3,3,1,0,1
476,2008,8650,53,7,5,2,3,2,1
477,2008,8667,47,2,0,2,1,0,1
478,2009,10261,42,4,3,1,1,1,0
479,2009,8650,58,11,6,5,3,1,2
480,2010,8668,48,6,4,2,1,1,0
481,2010,8472,52,6,1,5,1,0,1
482,2011,8586,52,13,9,4,1,1,0
483,2011,8659,48,7,4,3,1,0,1
484,2012,8667,39,5,2,3,1,1,0
485,2012,10252,61,6,3,3,1,0,1
486,2013,8549,48,8,7,1,2,1,1
487,2013,10260,52,3,0,3,1,0,1
488,2014,8655,44,8,2,6,3,0,3
489,2014,8456,56,6,4,2,2,0,2
490,2015,8462,42,5,1,4,2,0,2
491,2015,9825,58,6,2,4,0,0,0
492,2016,10194,44,5,2,3,2,1,1
493,2016,8654,56,2,2,0,0,0,0
494,2017,8528,53,13,9,4,2,2,0
495,2017,8559,47,2,0,2,3,3,0
496,2018,9879,40,2,2,0,2,1,1
497,2018,8455,60,4,2,2,2,0,2
498,2019,10260,68,6,3,3,3,0,3
499,2019,8456,32,5,2,3,2,0,2
500,2020,9825,56,9,2,7,2,1,1
501,2020,8455,44,5,4,1,1,0,1
502,2021,8650,57,7,2,5,1,1,0
503,2021,8654,43,2,1,1,0,0,0
504,2022,8668,38,6,3,3,2,1,1
505,2022,8586,62,0,0,0,0,0,0
506,2023,8549,44,4,3,1,1,1,0
507,2023,10261,56,7,3,4,0,0,0
508,2024,8655,48,4,2,2,2,1,1
509,2024,8462,52,4,1,3,1,0,1
510,2025,10252,44,5,3,2,1,1,0
511,2025,9879,56,8,5,3,3,1,2
512,2026,8472,53,2,2,0,2,2,0
513,2026,8559,47,2,0,2,1,0,1
