,team_id,season,field players rating,gk rating
108,8226.0,2012/2013,,
109,8226.0,2013/2014,,
110,8226.0,2014/2015,74.48333333333333,78.0
111,8226.0,2015/2016,75.01875,78.0
112,208931.0,2008/2009,,
113,208931.0,2009/2010,,
114,208931.0,2010/2011,,
115,208931.0,2011/2012,,
116,208931.0,2012/2013,,
117,208931.0,2013/2014,,
118,208931.0,2014/2015,,
119,208931.0,2015/2016,70.69090909090909,70.36363636363636
120,10278.0,2008/2009,,
121,10278.0,2009/2010,,
122,10278.0,2010/2011,73.16666666666667,76.0
123,10278.0,2011/2012,,
124,10278.0,2012/2013,,
125,10278.0,2013/2014,,
126,10278.0,2014/2015,,
127,10278.0,2015/2016,,
128,10281.0,2008/2009,73.05,76.0
129,10281.0,2009/2010,73.03448275862068,71.33333333333333
130,10281.0,2010/2011,,
131,10281.0,2011/2012,,
132,10281.0,2012/2013,,
133,10281.0,2013/2014,,
134,10281.0,2014/2015,,
135,10281.0,2015/2016,,
136,8234.0,2008/2009,,
137,8234.0,2009/2010,,
138,8234.0,2010/2011,,
139,8234.0,2011/2012,,
140,8234.0,2012/2013,,
141,8234.0,2013/2014,,
142,8234.0,2014/2015,,
143,8234.0,2015/2016,71.325,73.0
144,9783.0,2008/2009,74.3,73.6
145,9783.0,2009/2010,75.3425925925926,78.0909090909091
146,9783.0,2010/2011,73.225,75.5
147,9783.0,2011/2012,,
148,9783.0,2012/2013,,
149,9783.0,2013/2014,,
150,9783.0,2014/2015,72.15,73.5
151,9783.0,2015/2016,75.2,74.33333333333333
152,9788.0,2008/2009,71.9,72.0
153,9788.0,2009/2010,73.1,70.0
154,9788.0,2010/2011,73.2,71.0
155,9788.0,2011/2012,74.53333333333333,79.0
156,9788.0,2012/2013,,
157,9788.0,2013/2014,,
158,9788.0,2014/2015,76.23333333333333,80.0
159,9788.0,2015/2016,76.03571428571429,81.35714285714286
160,9789.0,2008/2009,75.9,79.0
161,9789.0,2009/2010,76.46666666666667,77.66666666666667
162,9789.0,2010/2011,77.775,81.0
163,9789.0,2011/2012,79.42,80.6
164,9789.0,2012/2013,,
165,9789.0,2013/2014,,
166,9789.0,2014/2015,80.4076923076923,80.46153846153847
167,9789.0,2015/2016,81.08461538461539,80.0
168,9790.0,2008/2009,76.525,82.0
169,9790.0,2009/2010,77.875,79.0
170,9790.0,2010/2011,76.4,80.0
171,9790.0,2011/2012,74.82,78.0
172,9790.0,2012/2013,,
173,9790.0,2013/2014,,
174,9790.0,2014/2015,74.26923076923077,76.92307692307692
175,9790.0,2015/2016,74.375,79.0
176,9791.0,2008/2009,,
177,9791.0,2009/2010,,
178,9791.0,2010/2011,,
179,9791.0,2011/2012,,
180,9791.0,2012/2013,,
181,9791.0,2013/2014,,
182,9791.0,2014/2015,,
183,9791.0,2015/2016,68.71538461538462,69.0
184,9798.0,2008/2009,,
185,9798.0,2009/2010,,
186,9798.0,2010/2011,,
187,9798.0,2011/2012,,
188,9798.0,2012/2013,70.375,71.5
189,9798.0,2013/2014,,
190,9798.0,2014/2015,,
191,9798.0,2015/2016,,
192,8262.0,2008/2009,,
193,8262.0,2009/2010,,
194,8262.0,2010/2011,,
195,8262.0,2011/2012,,
196,8262.0,2012/2013,,
197,8262.0,2013/2014,,
198,8262.0,2014/2015,,
199,8262.0,2015/2016,71.67368421052632,70.78947368421052
200,9803.0,2008/2009,,
201,9803.0,2009/2010,,
202,9803.0,2010/2011,,
203,9803.0,2011/2012,,
204,9803.0,2012/2013,,
205,9803.0,2013/2014,,
206,9803.0,2014/2015,,
207,9803.0,2015/2016,66.58181818181818,68.0
208,9804.0,2008/2009,71.15,81.0
209,9804.0,2009/2010,,
210,9804.0,2010/2011,,
211,9804.0,2011/2012,,
212,9804.0,2012/2013,,
213,9804.0,2013/2014,,
214,9804.0,2014/2015,73.41,74.7
215,9804.0,2015/2016,76.7375,74.875
216,9810.0,2008/2009,,
217,9810.0,2009/2010,72.45,74.0
218,9810.0,2010/2011,73.08,73.0
219,9810.0,2011/2012,,
220,9810.0,2012/2013,,
221,9810.0,2013/2014,,
222,9810.0,2014/2015,73.875,77.66666666666667
223,9810.0,2015/2016,74.58333333333333,75.0
224,8277.0,2008/2009,,
225,8277.0,2009/2010,,
226,8277.0,2010/2011,,
227,8277.0,2011/2012,,
228,8277.0,2012/2013,,
229,8277.0,2013/2014,,
230,8277.0,2014/2015,,
231,8277.0,2015/2016,70.7,74.0
232,9817.0,2008/2009,,
233,9817.0,2009/2010,,
234,9817.0,2010/2011,,
235,9817.0,2011/2012,,
236,9817.0,2012/2013,,
237,9817.0,2013/2014,,
238,9817.0,2014/2015,,
239,9817.0,2015/2016,74.13333333333334,76.0
240,9823.0,2008/2009,82.9375,78.5
241,9823.0,2009/2010,80.26,78.5
242,9823.0,2010/2011,80.9,76.71428571428571
243,9823.0,2011/2012,82.37,87.0
244,9823.0,2012/2013,,
245,9823.0,2013/2014,,
246,9823.0,2014/2015,83.09166666666667,89.16666666666667
247,9823.0,2015/2016,82.67647058823529,90.0
248,9825.0,2008/2009,80.3625,77.75
249,9825.0,2009/2010,81.38125,77.0
250,9825.0,2010/2011,81.21666666666667,76.0
251,9825.0,2011/2012,80.03333333333333,80.0
252,9825.0,2012/2013,79.775,77.75
253,9825.0,2013/2014,80.94117647058823,80.0
254,9825.0,2014/2015,78.64666666666666,77.93333333333334
255,9825.0,2015/2016,80.47894736842105,85.15789473684211
256,9826.0,2008/2009,,
257,9826.0,2009/2010,,
258,9826.0,2010/2011,,
259,9826.0,2011/2012,,
260,9826.0,2012/2013,,
261,9826.0,2013/2014,71.39444444444445,73.88888888888889
262,9826.0,2014/2015,73.15,74.86363636363636
263,9826.0,2015/2016,75.81333333333333,74.26666666666667
264,9827.0,2008/2009,,
265,9827.0,2009/2010,,
266,9827.0,2010/2011,,
267,9827.0,2011/2012,,
268,9827.0,2012/2013,,
269,9827.0,2013/2014,,
270,9827.0,2014/2015,72.63333333333334,80.0
271,9827.0,2015/2016,72.22222222222223,73.44444444444444
272,9829.0,2008/2009,,
273,9829.0,2009/2010,,
274,9829.0,2010/2011,,
275,9829.0,2011/2012,,
276,9829.0,2012/2013,,
277,9829.0,2013/2014,,
278,9829.0,2014/2015,76.26,78.0
279,9829.0,2015/2016,76.375,81.0
280,9830.0,2008/2009,,
281,9830.0,2009/2010,,
282,9830.0,2010/2011,,
283,9830.0,2011/2012,,
284,9830.0,2012/2013,,
285,9830.0,2013/2014,,
286,9830.0,2014/2015,,75.0
287,9830.0,2015/2016,72.03947368421052,77.75
288,9831.0,2008/2009,,
289,9831.0,2009/2010,,
290,9831.0,2010/2011,,
291,9831.0,2011/2012,,
292,9831.0,2012/2013,,
293,9831.0,2013/2014,,
294,9831.0,2014/2015,69.72857142857143,71.0
295,9831.0,2015/2016,73.95625,67.25
296,7788.0,2008/2009,,
297,7788.0,2009/2010,,
298,7788.0,2010/2011,,
299,7788.0,2011/2012,,
300,7788.0,2012/2013,,
301,7788.0,2013/2014,,
302,7788.0,2014/2015,,
303,7788.0,2015/2016,65.90833333333333,64.66666666666667
304,9837.0,2008/2009,,
305,9837.0,2009/2010,,
306,9837.0,2010/2011,,
307,9837.0,2011/2012,,
308,9837.0,2012/2013,,
309,9837.0,2013/2014,,
310,9837.0,2014/2015,71.24031007751938,73.92307692307692
311,9837.0,2015/2016,71.17777777777778,70.66666666666667
312,8302.0,2008/2009,78.28333333333333,80.41666666666667
313,8302.0,2009/2010,78.27142857142857,81.28571428571429
314,8302.0,2010/2011,77.64,77.0
315,8302.0,2011/2012,77.61666666666666,78.0
316,8302.0,2012/2013,,
317,8302.0,2013/2014,,
318,8302.0,2014/2015,77.54666666666667,71.6
319,8302.0,2015/2016,78.11666666666666,76.66666666666667
320,8305.0,2008/2009,75.7,79.66666666666667
321,8305.0,2009/2010,75.3076923076923,74.5
322,8305.0,2010/2011,75.025,74.0
323,8305.0,2011/2012,74.16666666666667,75.0
324,8305.0,2012/2013,,
325,8305.0,2013/2014,,
