,match_id,team_id,possession_only_second_half,shots_on,shots_on_first_half,shots_on_second_half,goals,goals_first_half,goals_second_half
236,1874,10261,39,3,3,0,3,2,1
237,1874,8655,61,3,1,2,0,0,0
238,1875,10260,64,13,6,7,6,2,4
239,1875,8559,36,3,3,0,0,0,0
240,1877,8667,43,4,3,1,1,1,0
241,1877,9825,57,5,2,3,1,0,1
242,1878,8455,59,19,10,9,1,0,1
243,1878,10194,41,1,1,0,1,0,1
244,1879,9879,44,9,4,5,2,1,1
245,1879,8472,56,12,5,7,1,0,1
246,1880,8586,57,11,6,5,2,2,0
247,1880,10194,43,1,0,1,3,0,3
248,1881,8667,57,12,7,5,2,0,2
249,1881,8654,43,10,4,6,0,0,0
250,1882,10260,65,6,4,2,1,1,0
251,1882,8659,35,4,3,1,0,0,0
252,1884,8528,52,2,2,0,2,0,2
253,1884,8650,48,3,1,2,0,0,0
254,1885,9825,53,4,2,2,1,1,0
255,1885,8668,47,4,2,2,2,0,2
256,1886,8456,62,4,2,2,3,1,2
257,1886,10261,38,0,0,0,1,0,1
258,1887,8655,60,11,3,8,3,1,2
259,1887,8559,40,1,1,0,2,0,2
260,1888,8455,59,12,6,6,2,1,1
261,1888,8549,41,6,3,3,2,0,2
262,1889,10260,51,11,6,5,1,1,0
263,1889,8668,49,5,1,4,0,0,0
264,1890,9825,47,9,3,6,2,0,2
265,1890,8654,53,2,1,1,0,0,0
266,1891,8455,38,4,3,1,2,1,1
267,1891,8650,62,14,5,9,0,0,0
268,1894,8472,43,10,8,2,3,1,2
269,1894,10261,57,14,6,8,0,0,0
270,1895,8462,54,7,4,3,1,1,0
271,1895,9879,46,4,1,3,3,2,1
272,1896,8586,52,8,3,5,2,0,2
273,1896,8559,48,5,3,2,4,0,4
274,1897,8667,43,10,5,5,3,2,1
275,1897,8659,57,4,0,4,1,1,0
276,1898,8456,63,6,1,5,1,1,0
277,1898,10194,37,3,2,1,0,0,0
278,1899,8472,70,6,4,2,1,1,0
279,1899,10194,30,2,1,1,0,0,0
280,1901,8654,53,5,3,2,2,0,2
281,1901,10260,47,8,5,3,1,0,1
282,1902,8668,70,8,4,4,2,2,0
283,1902,8559,30,5,0,5,1,0,1
284,1904,8655,49,11,5,6,2,1,1
285,1904,10252,51,5,2,3,1,1,0
286,1906,8462,53,4,3,1,1,0,1
287,1906,8650,47,4,1,3,3,0,3
288,1907,9879,44,3,3,0,1,1,0
289,1907,8528,56,4,1,3,1,0,1
290,1909,8655,42,6,1,5,1,0,1
291,1909,10260,58,5,2,3,0,0,0
292,1910,9825,63,8,5,3,3,2,1
293,1910,8472,37,2,2,0,0,0,0
294,1912,8455,54,9,5,4,1,1,0
295,1912,10252,46,6,2,4,2,0,2
296,1914,8668,58,7,3,4,1,0,1
297,1914,10261,42,1,0,1,0,0,0
298,1915,9879,55,10,3,7,2,2,0
299,1915,8659,45,7,3,4,1,0,1
300,1916,8559,37,6,3,3,2,1,1
301,1916,8654,63,9,3,6,1,0,1
302,1917,8586,58,6,1,5,4,3,1
303,1917,8667,42,3,1,2,2,1,1
304,1918,8462,43,3,1,2,3,3,0
305,1918,10194,57,2,2,0,1,1,0
306,1920,9879,39,4,2,2,1,0,1
307,1920,9825,61,6,3,3,0,0,0
308,1921,8586,40,8,5,3,2,1,1
309,1921,8472,60,4,0,4,1,0,1
310,1922,8456,45,5,2,3,1,1,0
311,1922,8654,55,10,6,4,0,0,0
312,1924,8659,51,10,4,6,2,0,2
313,1924,8668,49,6,4,2,0,0,0
314,1925,8650,31,9,6,3,1,1,0
315,1925,8549,69,3,2,1,2,1,1
316,1926,8559,55,5,3,2,2,1,1
317,1926,10261,45,12,4,8,0,0,0
318,1927,8655,43,5,3,2,1,0,1
319,1927,8667,57,4,2,2,0,0,0
320,1928,8528,35,6,5,1,1,1,0
321,1928,8455,65,12,8,4,4,2,2
322,1929,8549,44,4,3,1,1,1,0
323,1929,8586,56,4,3,1,3,0,3
324,1930,8659,45,6,2,4,2,1,1
325,1930,9825,55,4,0,4,1,0,1
326,1931,8462,52,6,3,3,3,2,1
327,1931,8455,48,10,7,3,1,0,1
328,1932,8559,48,9,4,5,1,1,0
329,1932,10194,52,3,0,3,1,0,1
330,1933,8528,69,8,2,6,2,2,0
331,1933,8654,31,2,0,2,3,1,2
332,1934,8472,39,2,2,0,1,1,0
333,1934,8650,61,11,7,4,1,1,0
334,1935,10261,23,5,3,2,5,4,1
335,1935,10260,77,7,4,3,0,0,0
336,1936,8456,46,6,2,4,3,2,1
337,1936,10252,54,5,0,5,0,0,0
338,1938,9879,44,10,3,7,3,1,2
339,1938,8667,56,2,1,1,0,0,0
340,1939,10260,58,8,3,5,3,1,2
341,1939,8650,42,3,1,2,4,3,1
342,1940,9825,60,9,2,7,2,0,2
343,1940,8655,40,4,2,2,0,0,0
344,1943,8586,61,9,5,4,1,1,0
345,1943,10252,39,5,3,2,4,1,3
346,1944,8668,51,9,4,5,5,3,2
347,1944,10194,49,2,1,1,0,0,0
348,1945,8462,49,3,3,0,1,0,1
349,1945,8549,51,8,1,7,0,0,0
350,1946,8559,44,5,3,2,2,1,1
351,1946,9879,56,4,2,2,3,0,3
352,1947,10261,53,4,1,3,2,1,1
353,1947,8667,47,1,0,1,0,0,0
354,1949,10260,57,8,5,3,1,1,0
355,1949,9879,43,1,1,0,1,0,1
356,1950,9825,47,12,6,6,2,1,1
357,1950,10261,53,1,0,1,0,0,0
358,1951,8456,62,6,3,3,1,1,0
359,1951,8472,38,4,3,1,2,0,2
360,1952,8655,52,7,3,4,1,1,0
361,1952,8654,48,4,1,3,2,1,1
362,1953,8650,58,5,1,4,1,0,1
363,1953,10252,42,2,1,1,0,0,0
364,1956,8559,68,10,3,7,1,0,1
365,1956,8659,32,7,4,3,0,0,0
366,1957,8528,47,1,1,0,3,1,2
367,1957,8667,53,4,1,3,2,1,1
368,1959,8650,57,4,2,2,2,1,1
369,1959,10252,43,4,3,1,0,0,0
370,1960,8455,42,11,3,8,4,1,3
371,1960,8586,58,6,5,1,0,0,0
372,1961,9825,68,10,6,4,2,0,2
373,1961,10261,32,4,1,3,0,0,0
374,1962,8456,68,10,3,7,1,1,0
375,1962,8472,32,4,2,2,2,0,2
